section,section_name,workers_thousands
A,Сельское лесное и рыбное хозяйство,955.7
B,Горнодобывающая промышленность и разработка карьеров,290.3
C,Обрабатывающая промышленность,626.7
D,Снабжение электроэнергией газом паром,153.3
E,Водоснабжение сбор обработка и удаление отходов,90.2
F,Строительство,628.7
G,Оптовая и розничная торговля ремонт автомобилей,1581.0
H,Транспорт и складирование,674.7
I,Предоставление услуг по проживанию и питанию,226.2
J,Информация и связь,201.0
K,Финансовая и страховая деятельность,203.2
L,Операции с недвижимым имуществом,182.5
M,Профессиональная научная и техническая деятельность,272.1
N,Деятельность в области административного обслуживания,279.4
P,Образование,1222.4
Q,Здравоохранение и социальное обслуживание,617.6
R,Искусство развлечения и отдых,157.6
S,Предоставление прочих видов услуг,391.0
